ID,Area,Stories,Year Built,Type ID,Latitude,Longitude
1,2029.42425,1,1945,1,37.98999094,-122.5986709
2,2029.42425,1,1965,1,37.97476531,-122.6056875
3,1568,1,1964,1,37.34473211,-122.0014662
4,1266,2,1992,3,37.69498903,-122.0703993
5,1513,1,1978,3,37.55952818,-121.9943362
6,1717,1,1978,3,37.55967004,-121.9935883
7,0,1,2008,1,37.46223573,-121.9172232
8,0,1,1996,3,37.70081432,-121.9576976
9,1018,1,1946,1,37.98695719,-122.594278
10,145231,3,1997,0,37.79499202,-122.2823383
11,3693,1,1998,1,37.89525182,-121.6147928
12,2029.42425,1,1992,1,37.98488147,-122.5987679
13,2029.42425,1,1931,1,37.99405688,-122.6021578
14,2029.42425,1,1964,1,37.99382403,-122.6003333
15,1106,1,1957,1,37.99375169,-122.5990357
16,2029.42425,1,1968,1,37.99099411,-122.5840929
17,2029.42425,1,1972,1,37.99060732,-122.5838343
18,1354,1,1951,1,37.98960725,-122.5833179
19,2029.42425,1,1968,1,37.99046758,-122.5877322
20,2029.42425,1,1968,3,37.9904638,-122.5868473
21,2029.42425,1,1960,3,37.98862771,-122.5834802
22,851,1,1953,1,37.98421842,-122.5910192
23,2029.42425,1,1947,1,37.98376006,-122.5903697
24,2261,1,1914,1,37.9826577,-122.5900615
25,2029.42425,1,1932,1,37.98257195,-122.59198
26,2029.42425,1,1963,1,37.98445303,-122.5886608
27,2029.42425,1,1923,1,37.98690702,-122.5923766
28,993,1,1924,1,37.97846409,-122.5888359
29,2029.42425,1,1945,1,37.97935977,-122.59026
30,2029.42425,1,1924,1,37.97980838,-122.5899875
31,2029.42425,1,1907,1,37.97955739,-122.5889619
32,3409,1,1994,1,37.97975387,-122.5878035
33,2762,1,1958,3,37.98297504,-122.5851338
34,2052,1,1966,1,37.98301381,-122.5811138
35,1326,1,1931,1,37.98202645,-122.5831807
36,2029.42425,1,1947,1,37.97737464,-122.6128196
37,2029.42425,1,1979,1,37.97616155,-122.6111031
38,1406,1,1974,1,37.97622273,-122.6112462
39,2029.42425,1,1956,1,37.97664466,-122.6095686
40,2029.42425,1,1989,1,37.97680931,-122.6073092
41,2029.42425,1,1966,1,37.97911615,-122.604701
42,2029.42425,1,1966,1,37.97897301,-122.6045265
43,2029.42425,1,1945,1,37.97931775,-122.6047681
44,4058.848501,1,1913,3,37.99138126,-122.5759321
45,1504,1,1928,1,37.98616401,-122.5732802
46,2029.42425,1,1927,1,37.9885256,-122.5663668
47,2029.42425,1,1948,1,37.98151554,-122.5550898
48,3123,1,1918,1,37.98076444,-122.5738108
49,2029.42425,1,1923,1,37.97709529,-122.5705246
50,2031,1,1951,1,37.97300498,-122.5697562
51,2367,1,1909,1,37.97413212,-122.5684431
52,2247,1,1912,1,37.9748546,-122.5683864
53,2029.42425,1,1992,1,37.96944262,-122.5688761
54,2029.42425,1,1963,3,37.96540211,-122.5047651
55,2029.42425,1,1963,1,37.96527725,-122.5045324
56,3978,1,1951,1,37.9736319,-122.4965665
57,1790,1,1990,1,37.96363294,-122.4923674
58,8117.697002,1,1977,3,37.96216161,-122.4978122
59,2029.42425,1,1994,1,37.96226618,-122.4967596
60,1334,1,1980,0,37.94665574,-122.4897821
61,990,1,1980,0,37.94725933,-122.4895204
62,2029.42425,1,1998,1,37.96030834,-122.4945115
63,2029.42425,1,1944,1,37.98348223,-122.5461636
64,1420,1,1944,1,37.98302888,-122.5458414
65,2029.42425,1,1941,1,37.97946265,-122.5405553
66,4058.848501,1,1954,1,37.9794392,-122.5507506
67,2400,1,1928,1,37.97844603,-122.5238102
68,4058.848501,1,1960,1,37.97866809,-122.5233717
69,4058.848501,1,1954,3,37.97606062,-122.5261963
70,4058.848501,1,1990,1,37.9670415,-122.5450993
71,4058.848501,1,1921,1,37.96982097,-122.5393583
72,2029.42425,1,1953,1,37.96971391,-122.541071
73,1795,1,1901,1,37.96922618,-122.5352326
74,3159,1,1904,1,37.96687868,-122.5355044
75,2029.42425,1,1951,1,37.96657214,-122.5372086
76,4058.848501,1,1943,3,37.9664559,-122.5360549
77,2021,1,1980,10,37.97057926,-122.5282587
78,97412.36402,1,1958,3,37.96274989,-122.5187132
79,2029.42425,1,1998,1,37.96142287,-122.5266759
80,2029.42425,1,1959,1,37.961278,-122.5158379
81,8094,1,1953,10,37.96169012,-122.5144355
82,2029.42425,1,1954,3,37.9756631,-122.5217013
83,2029.42425,1,1954,1,37.9755125,-122.5077019
84,2029.42425,1,1953,1,37.98677419,-122.5122392
85,4632,1,1954,3,37.98551484,-122.5128374
86,2029.42425,1,1972,1,37.97828045,-122.4978145
87,4497,2,2015,1,37.80638486,-122.2887488
88,2029.42425,1,1963,1,37.97448794,-122.4852945
89,905,1,1962,1,37.9666714,-122.5027871
90,0,1,1973,0,37.95693934,-122.5062351
91,44750,1,1968,0,37.94214742,-122.4793502
92,37722,1,1963,8,37.95476287,-122.5055104
93,6088.272751,1,1912,3,37.93771429,-122.5353261
94,1761,1,1957,3,37.93163545,-122.535207
95,2029.42425,1,1946,1,37.93448853,-122.5275736
96,4058.848501,1,1963,3,37.93372135,-122.5274351
97,2301,1,1968,1,37.92851264,-122.538259
98,2333,1,1970,1,37.93912125,-122.5225614
99,1101,1,1974,3,37.94442314,-122.5274185
